BO Iteration,Selected SMILES,f1,f2,R2 Indicator
16,O=C(NCCN1CCC(C(=O)NCC2CC2)CC1)c1ccc2ccccc2c1,0.15151515151515152,1.0,0.2396
17,CCOC(=O)CSc1nc2ccccc2c(=O)n1CC1CCC(C(=O)NCc2ccco2)CC1,0.18181818181818182,0.1353352832366127,0.2396
18,O=C(CCC1CCN(Cc2ccc(F)cc2)CC1)c1ccc2c(c1)CCN2,0.1111111111111111,1.0,0.2396
19,O=C(c1ccc(F)cc1)C1CCN(CCCn2nc3n(c2=O)CCCC3)CC1,0.13432835820895522,1.0,0.2396
20,CC1(C(=O)O)CCN(c2cc(N3CCCC(C(=O)NCCc4ccc(C#N)cc4)C3)nc(C(F)(F)F)n2)CC1,0.1320754716981132,1.0,0.2396
21,CCc1nc(C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2)cs1,0.09352517985611511,1.0,0.2396
22,CC(=O)NCC(=O)CN1CCN(CCc2ccc(-c3ncsc3N)cc2)CC1,0.11851851851851852,1.0,0.2396
23,Cc1cncc(NC(=O)c2ccc(CN3CCC(O)C3)cc2)c1,0.10483870967741936,1.0,0.2396
24,Cc1cc(C(=O)NC2CC2)ccc1N1CCN(Cc2cc(C)c3c(c2)NC(=O)C(C)O3)CC1,0.1310344827586207,1.0,0.2396
25,Cn1cc(C#N)cc1C(=O)Nc1ccc(CN2CCOCC2)cn1,0.08527131782945736,1.0,0.2396
26,COCc1ccc(CN2CCCC(C(=O)c3sccc3C)C2)o1,0.1322314049586777,1.0,0.2396
27,O=C(O)C1CN(Cc2ccc(-c3cc4cc(OCC5CC5)ccc4o3)c(F)c2)C1,0.13333333333333333,0.1353352832366127,0.2396
28,CCc1ccc(N2CC(C(=O)N3CCCC3)CC2=O)cc1,0.1391304347826087,0.1353352832366127,0.2396
29,CC(=O)c1cc(CN2CCC(n3nccc3NC(=O)c3ccccc3C)CC2)cs1,0.12949640287769784,0.1353352832366127,0.2396
30,CCN1CCN(CCNC(=O)c2ccc(C[S+]([O-])c3ccc(Cl)cc3)o2)CC1,0.10218978102189781,1.0,0.2396
31,O=C(NCc1ccccc1)c1cnc(N2CCN(CC3CCCOC3)CC2)nc1NC1CC1,0.11258278145695365,1.0,0.2396
32,Cc1ccc(C(=O)NCC(c2ccc(F)cc2)N2CCOCC2)cc1S(=O)(=O)N1CCOCC1,0.09803921568627451,1.0,0.2396
33,CCOC(=O)c1c(C)oc2nc(Nc3cccc(C)c3)nc(N3CCOCC3)c12,0.1323529411764706,0.1353352832366127,0.2396
34,CC1CN(C(=O)N2CCC(C(=O)NCCCc3ccccc3)CC2)c2cc(Cl)ccc2O1,0.14788732394366197,1.0,0.2396
35,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C(=O)CCCN)CC2)CC1,0.15827338129496402,0.1353352832366127,0.2396
36,O=C(NCCc1ccc(F)cc1)NC1CCCc2c1cnn2CCO,0.1171875,1.0,0.2396
37,Cc1noc(C(C)C)c1C(=O)NCC1CCCN1Cc1ccccc1,0.14516129032258066,1.0,0.2396
38,CCCN1CCCC1C(=O)NCc1ccc(C(=N)N)cc1,0.17117117117117117,0.1353352832366127,0.2396
39,O=C(NC1CCCc2cc(CN3CCCCC3)ccc21)C(O)C(O)CS(=O)(=O)c1cccc(Cl)c1,0.14093959731543623,1.0,0.2396
40,CC(C)CN(Cc1cc2c(cc1Cl)OCCCO2)C(=O)C1CCN(Cc2ccccc2)C1,0.13194444444444445,1.0,0.2396
41,CC1=C(C(=O)N(C(C)C)C(C)C)CC(CC(=O)NCC2CCCCC2)C(=O)N1Cc1ccc(C(C)(C)C)cc1,0.21232876712328766,0.1353352832366127,0.2396
42,COCc1ccc(C(=O)N2CCOc3ccc(CN4CCN(c5ccc(F)cc5)CC4)cc3C2)o1,0.08125,0.1353352832366127,0.2396
43,O=C(NCCCN1CCCC1=O)C1CCN(S(=O)(=O)c2cccc(Cl)c2Cl)CC1,0.14285714285714285,0.1353352832366127,0.2396
44,CCNC(=O)C(c1ccccc1)N1CCN(c2ccc(NC(=O)C(CC)CC)cc2C#N)CC1,0.15172413793103448,1.0,0.2396
45,CCC(C)C(C(=O)NC1CCOC(c2nc(C(=O)NCCc3ccccc3)cs2)C1)N(C)C,0.17142857142857143,1.0,0.2396
46,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CN1CCOCC1)C(=O)C1(C)CO1,0.19402985074626866,0.1353352832366127,0.2396
