BO Iteration,Selected SMILES by EI,f1,f2,R2 Indicator
25,O=C(C=Cc1ccc(OCCCCN2CCCCC2)cc1)c1ccccc1,0.16296296296296298,1.0,0.2321
26,NC(=O)c1ccc(-c2noc(C3CCCCN3C(=O)COc3ccccc3)n2)cc1,0.17985611510791366,0.1353352832366127,0.2321
27,O=C(c1ccccc1SCc1ccccc1)N1CCCCCC1,0.1328125,1.0,0.2321
28,CCc1ccc(NC(=O)C(=O)c2cn(CC(=O)N3CCCCC3)c3ccccc23)cc1,0.1773049645390071,0.1353352832366127,0.2321
29,O=C(NCCCN1CCOCC1)c1ccnc(OCc2ccccc2)c1,0.16666666666666666,1.0,0.2321
30,CC(=O)c1ccc(N2CCCC(CO)(Cc3ccccc3F)C2)nc1,0.15625,1.0,0.2321
31,O=C(C(=O)N1CCCC1C(=O)OCCCc1cccnc1)c1ccccc1,0.19230769230769232,1.0,0.2321
32,COc1ccccc1C(=CCCN1CCCC(C(=O)O)C1)c1ccccc1,0.17424242424242425,1.0,0.2321
33,O=C(CN1CCN(C(=O)c2ccccc2)CC1)Nc1ccc(Br)cn1,0.15503875968992248,1.0,0.2321
34,O=C(Oc1ccc(Br)cc1C(=S)N1CCOCC1)c1ccccc1,0.15873015873015872,1.0,0.2321
35,CS(=O)(=O)N1CCc2cc(C(=O)OCC(=O)c3ccccc3)ccc21,0.20491803278688525,1.0,0.2303
36,CNC(=O)c1ccc(OC)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12,0.1888111888111888,0.1353352832366127,0.2303
37,O=C(c1ccc(OCc2cccnc2)cc1)C1CC1,0.14782608695652175,1.0,0.2303
38,O=C(CSCc1ccccc1)N1CCc2ccccc21,0.15254237288135594,1.0,0.2303
39,CSCC1CCN(C(=O)c2ccccc2NCc2cccnc2)C1,0.15748031496062992,1.0,0.2303
40,O=C(OCC1CCCN(C(=O)CCc2ccccc2)C1)c1ccccc1C(F)(F)F,0.19117647058823528,1.0,0.2303
41,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc(C(F)(F)F)cc1,0.14583333333333334,1.0,0.2303
42,Cc1ccc(C(=O)N2CCCC(CCC(=O)NCc3ccccc3F)C2)cn1,0.1984732824427481,1.0,0.2303
43,O=C(NCc1cccs1)C1CCCN1S(=O)(=O)c1ccccc1F,0.15079365079365079,1.0,0.2303
44,CCCN1CCCC1C(=O)NCc1ccc(C(=N)N)cc1,0.1623931623931624,0.1353352832366127,0.2303
45,O=C(CCNC(=O)C1CCN(S(=O)(=O)c2ccccc2)CC1)NCc1cccc(C(F)(F)F)c1,0.15436241610738255,1.0,0.2303
