BO Iteration,Selected SMILES,f1,f2,R2 Indicator
28,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc2ccc(O)cc2oc1=O,0.12056737588652482,0.1353352832366127,0.2146
29,CC(=O)NC(C)c1ccc(OC2CCN(c3ncnc(OC4CCC4)c3Cl)C2)cc1,0.14705882352941177,1.0,0.2146
30,CCCOC(=O)Nc1ccc(S(=O)(=O)N2CC(c3ccccc3)NC2=O)cc1CC,0.13970588235294118,1.0,0.2146
31,NC(=O)c1cc(-c2ccccc2)nc(N2CCOCC2)n1,0.06451612903225806,1.0,0.2146
32,O=C(Nc1ccccc1[N+](=O)[O-])c1ccccc1NC(=O)C1CCCCC1,0.15625,1.0,0.2146
33,O=C(c1ccc(NS(=O)(=O)c2cccc(F)c2)cc1)N1CCCCC1,0.109375,1.0,0.2146
34,O=C(NCc1ccc(F)cc1)c1cc(S(=O)(=O)N2CCCCC2)c[nH]1,0.11811023622047244,1.0,0.2146
35,O=C(COc1ccc(S(=O)(=O)NC2CCCCC2)cc1)NCCC1=CCCCC1,0.16541353383458646,0.1353352832366127,0.2146
36,O=C(Nc1ccc(Cl)cc1)C1CCCN(S(=O)(=O)c2c[nH]cn2)C1,0.112,1.0,0.2146
37,CC(=O)Nc1ccc(NC(=O)COC(=O)c2ccccc2SCC(=O)N2CCCC2)cc1,0.15714285714285714,1.0,0.2146
38,COc1cccc(CNC(=O)c2cc(S(=O)(=O)N3CCCC3)cn2C)c1,0.13385826771653545,1.0,0.2146
39,COc1ccc(S(=O)(=O)Nc2cc(Cl)ccc2C(=O)O)cc1,0.08264462809917356,1.0,0.2146
40,CCOc1ccc(NS(=O)(=O)c2cc(C(=O)N3CCCC3)ccc2Cl)cc1,0.13953488372093023,1.0,0.2146
41,Cc1ccc(S(=O)(=O)N2CC(C)N(C(=O)N3CCOCC3)C2C)cc1,0.13821138211382114,0.1353352832366127,0.2146
42,CC(=O)NC(CC(=O)Nc1cccc(S(=O)(=O)N2CCCCC2)c1)c1ccccc1,0.1386861313868613,1.0,0.2146
43,CC(=O)c1cc(CNC(=O)c2ccc(OP(=O)(O)O)cc2)ccc1OCC1CCCCC1,0.18382352941176472,1.0,0.1851
44,COc1cccc(NS(=O)(=O)c2ccc3c(c2)CCCN3C(C)=O)c1,0.11023622047244094,1.0,0.1851
45,CC(C)OC(=O)C1CC=CCC1C(=O)Nc1ccc(Cl)cc1,0.13793103448275862,0.1353352832366127,0.1851
46,Cc1ccc(NC(=O)c2c(F)cccc2Cl)cc1S(=O)(=O)N1CCOCC1,0.08955223880597014,1.0,0.1851
47,CCn1c(CNc2ccc(F)cc2)nnc1SCC(=O)OC1CCCCC1,0.18253968253968253,1.0,0.1851
48,CC(=O)Nc1ccc(S(=O)(=O)N2CCOC(Cn3ccnc3)C2)cc1,0.10077519379844961,1.0,0.1851
49,CC(OC(=O)c1cccc(S(=O)(=O)N(C)C)c1)C(=O)NCC(=O)Nc1ccc(F)c(F)c1F,0.11971830985915492,1.0,0.1851
50,Cc1cc(-c2nnc(NCCCN3CCCCC3)o2)ccc1NC(=O)c1ccccc1F,0.10810810810810811,0.1353352832366127,0.1851
51,CC(=O)N1CCN(S(=O)(=O)c2cccc(C(=O)OCC(=O)NC(=O)c3cccn3C)c2)CC1,0.14084507042253522,1.0,0.1851
52,CCOc1ccccc1NC(=O)CCN1CCN(S(=O)(=O)c2ccc(OC)cc2)CC1,0.1357142857142857,1.0,0.1851
53,O=C(COC(=O)c1cnc(O)nc1O)Nc1cccc(S(=O)(=O)N2CCCCC2)c1,0.14814814814814814,1.0,0.1851
54,CC(=O)N1c2ccccc2CC1C(=O)N1CCN(c2cccc(Cl)c2)CC1,0.11278195488721804,1.0,0.1851
55,O=C(COc1ccc(S(=O)(=O)N2CCCC2)cc1)NCc1ccccn1,0.12307692307692308,1.0,0.1851
56,O=C(c1ccc(F)cc1)N1CCN(C2=NS(=O)(=O)c3ccccc32)CC1,0.07407407407407407,1.0,0.1851
57,O=C(OCC(=O)c1ccc[nH]1)c1ccc(S(=O)(=O)N2CCCCC2)cc1,0.14173228346456693,1.0,0.1851
58,Cc1cccnc1NC(=O)c1cccc(S(=O)(=O)N2CCCC2)c1,0.112,1.0,0.1851
