BO Iteration,Selected SMILES,f1,f2
19,CC(C)Oc1ccc(C(c2cccnc2)N2CCC(NC(=O)C3CC3)CC2)cc1,0.14925373134328357,1.0
20,CC(NC(=O)C1CC1)c1ccc(C#Cc2cnc(OCC3CC3)nc2)cc1,0.1297709923664122,1.0
21,CC(=O)NC(C)c1ccc(OC2CCN(c3ccnc(OC4CCCCC4)c3)C2)cc1,0.16666666666666666,1.0
22,O=C(NC1CCCCCC1)C1CCN(c2nc3cc(Cl)ccc3o2)CC1,0.13953488372093023,1.0
23,CC1CCN(CCCOc2ccc3c(Nc4ccc(NC(=O)NC5CCCCC5)cc4)ncnc3c2)CC1,0.14375,0.1353352832366127
24,Cc1ccc(C(NC(=O)Cn2cc(C3CC3)nn2)C2CC2)cc1,0.13333333333333333,1.0
25,O=C(O)C(O)c1ccc(C2CCCCC2)cc1,0.1782178217821782,0.1353352832366127
26,CC1CCC(NC(=NO)c2cccnc2Oc2ccc(F)cc2Cl)CC1,0.09848484848484848,1.0
27,Clc1ccc(N2CCC(Oc3ncccc3C3CCOCC3)CC2)nc1,0.08029197080291971,1.0
28,O=C(NC1CCCC1)C1c2ccccc2OCC(=O)N1Cc1ccccn1,0.15384615384615385,1.0
29,Cn1c(COc2ccc(Cl)cc2)nnc1SCC(=O)NC1CCCC1,0.16260162601626016,1.0
30,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1CCOc2ccc(OC3CCCC3)cc21,0.16666666666666666,1.0
31,CN(Cc1cccc(F)c1)C(=O)CSc1nnc(C2CC2)n1C1CC1,0.11904761904761904,1.0
32,O=C(NCc1ccccc1)c1cnc(N2CCN(CC3CCCOC3)CC2)nc1NC1CC1,0.11258278145695365,1.0
33,O=C(NC1CCC1)C1CCOC2CCN(CCc3ccccc3)CC21,0.14285714285714285,0.1353352832366127
34,O=C(CSc1nnc(-c2ccncc2)n1Cc1ccco1)OC1CCCCC1,0.14074074074074075,0.1353352832366127
35,O=C(NCC1CCOCC1)c1cnc(Nc2cccc(OC(F)(F)F)c2)cc1C1CC1,0.10416666666666667,1.0
36,O=C(Nc1ccc(OC2CCC(C(=O)O)CC2)cc1)c1nnc(Nc2cc(F)c(F)cc2F)o1,0.12837837837837837,0.1353352832366127
37,Cc1cccc(OCCNC(=O)c2cc(C3CC3)nc3c2cnn3C(C)C)c1,0.13636363636363635,0.1353352832366127
38,O=C(NC1CCCC1)C(c1ccc(F)cc1)N(Cc1ccc(Cl)cc1)C(=O)CCl,0.1590909090909091,1.0
39,O=C(O)Cc1csc(NC(=O)C(CC2CCCC2)c2ccc(Cl)c(Cl)c2)n1,0.18548387096774194,1.0
40,Clc1cnc(NC2CCCNC2)cc1-c1cccc(NCC2CCCCC2)n1,0.1079136690647482,1.0
41,N=C(O)C(N=C(O)c1cnc(N2CC(F)(F)C2)c(OCC2CC2)n1)c1ccc(Cl)cc1,0.10638297872340426,1.0
42,O=C(Nc1ncc(F)s1)C(c1ccc(Cl)cc1)C1CC1,0.08547008547008547,1.0
43,COc1ccc(CC2CN3C(=NCC3C(C)C)N2CC(C)NC(=O)CCC2CCCCC2)cc1,0.20863309352517986,0.1353352832366127
44,CS(=O)(=O)N1CCC(NC(c2cccnc2)c2ccc(Cl)cc2F)CC1,0.09923664122137404,1.0
45,CCC(N=C(O)c1cc(C(=O)NCC2CC2)n2c1COCC2)c1ccccc1Cl,0.1590909090909091,1.0
46,O=C(NCc1ccc(Cl)c(Cl)c1)c1cncc(N2CC3CNCC3C2)n1,0.09774436090225563,1.0
47,CC1(O)C(O)C(COC(=S)NCc2ccccc2)OC1n1cnc2c(NC3CCCC3)nc(Cl)nc21,0.14473684210526316,0.1353352832366127
48,CCOC(=O)N1CCC(NC(=O)c2ccc(C[S+]([O-])c3cccc(Cl)c3)o2)CC1,0.17692307692307693,1.0
49,NC(=O)C1CCN(c2nc(-c3cccc(Cl)c3)cs2)CC1,0.09166666666666666,1.0
50,C=CCN1CCN(c2c(Cl)cccc2NC(=O)c2ccno2)CC1,0.07692307692307693,1.0
